container_id,machine_id,time_stamp,app_du,status,cpu_request,cpu_limit,mem_size
c_230,m_3366,0,app_8148,started,400,480,1.56
c_231,m_2521,0,app_8727,started,800,800,3.13
c_232,m_2563,0,app_9678,started,800,800,3.13
c_233,m_2223,0,app_8407,started,400,400,1.56
c_234,m_2385,0,app_2557,started,400,400,1.56
c_235,m_479,0,app_442,started,800,800,3.13
c_236,m_762,0,app_8116,started,400,400,1.56
c_237,m_1332,0,app_8616,started,400,400,1.56
c_238,m_3932,0,app_2625,started,400,400,1.56
c_239,m_3408,0,app_8054,started,400,400,1.56
c_240,m_3323,0,app_141,started,800,800,3.13
c_241,m_860,0,app_6773,started,400,400,1.56
c_242,m_3616,0,app_6935,started,800,800,1.56
c_243,m_758,0,app_1596,started,400,400,1.56
c_244,m_1343,0,app_5035,started,800,800,3.13
c_245,m_1058,0,app_9281,started,400,480,1.56
c_246,m_3295,0,app_943,started,400,400,1.56
c_247,m_3241,0,app_2161,started,400,400,1.56
c_248,m_1546,0,app_7352,started,400,400,1.56
c_249,m_318,309430,app_2255,started,2400,2400,9.38
c_250,m_1987,0,app_9741,started,400,400,1.56
c_251,m_529,0,app_1596,started,400,400,1.56
c_252,m_438,0,app_1292,started,400,400,1.56
c_253,m_2951,0,app_7741,started,800,800,3.13
c_254,m_2269,227551,app_5017,started,400,400,1.56
c_255,m_2169,0,app_7681,started,400,400,1.56
c_256,m_3128,0,app_6841,started,400,400,1.56
c_257,m_3139,0,app_2324,started,800,800,6.25
c_258,m_3097,0,app_5533,started,400,480,1.56
c_259,m_753,0,app_1063,started,800,800,3.13
c_260,m_22,0,app_240,started,400,400,1.56
c_261,m_3341,0,app_8129,started,400,400,1.56
c_262,m_3854,578613,app_1826,started,800,800,3.13
c_263,m_1964,0,app_1552,started,400,400,1.56
c_264,m_722,0,app_9308,started,800,800,3.13
c_267,m_1945,0,app_2965,started,400,400,1.56
c_268,m_3202,0,app_1628,started,400,400,1.56
c_269,m_3642,0,app_5468,started,400,400,1.56
c_271,m_3132,0,app_6556,started,400,400,1.56
c_272,m_3806,580420,app_4142,started,800,800,6.25
c_273,m_3700,0,app_1779,started,400,400,1.56
c_275,m_1513,0,app_9059,started,400,400,1.95
c_276,m_2940,0,app_7097,started,800,800,3.13
c_277,m_757,0,app_7908,started,400,400,1.56
c_278,m_977,164355,app_7876,started,800,800,3.13
c_279,m_2574,0,app_2076,started,400,400,1.56
c_280,m_3121,0,app_8922,started,400,400,1.56
c_281,m_1362,0,app_8529,started,400,400,1.56
c_282,m_337,0,app_8253,started,400,400,1.95
c_283,m_3349,0,app_4724,started,400,400,1.56
c_285,m_2329,0,app_5930,started,400,400,1.56
c_286,m_1137,0,app_8000,started,400,400,1.56
c_287,m_204,0,app_7739,started,800,800,3.13
c_288,m_100,0,app_2989,started,400,400,1.56
c_289,m_2673,0,app_943,started,400,400,1.56
c_290,m_3368,0,app_3447,started,400,400,1.56
c_291,m_443,0,app_1677,started,400,400,1.56
c_292,m_1467,0,app_7828,started,400,400,1.56
c_293,m_1220,0,app_5732,started,800,800,3.13
c_294,m_2738,0,app_6711,started,400,400,1.56
c_295,m_2010,0,app_5174,started,400,400,1.56
c_296,m_3169,0,app_3988,started,400,400,1.56
c_297,m_918,0,app_4265,started,400,400,1.56
c_298,m_1104,0,app_4824,started,400,400,3.13
c_299,m_1408,0,app_7709,started,400,400,1.56
c_300,m_3448,0,app_6601,started,400,400,1.56
c_301,m_2894,0,app_7908,started,400,400,1.56
c_302,m_3079,0,app_6592,started,400,400,1.56
c_303,m_3513,0,app_9073,started,400,400,1.56
c_304,m_2589,0,app_6779,started,400,400,1.56
c_306,m_2474,0,app_6491,started,400,400,1.56
c_307,m_2892,164361,app_7876,started,800,800,3.13
c_308,m_3561,0,app_5671,started,400,400,1.56
c_309,m_994,0,app_2346,started,400,400,1.56
c_310,m_2027,0,app_4155,started,400,480,1.56
c_311,m_1232,0,app_3214,started,400,480,1.56
c_312,m_700,0,app_3664,started,400,400,1.56
c_313,m_610,0,app_943,started,400,400,1.56
c_314,m_2225,0,app_3763,started,400,400,1.56
c_315,m_3363,0,app_9363,started,800,800,3.13
c_316,m_1476,0,app_5868,started,800,800,3.13
c_317,m_2755,0,app_1791,started,400,400,1.56
c_318,m_1891,559009,app_701,started,400,400,1.56
c_319,m_1116,0,app_5155,stopped,400,400,1.56
c_320,m_3207,581162,app_6883,started,400,400,1.56
c_321,m_3109,0,app_9529,started,400,400,2.34
c_323,m_795,0,app_6093,started,400,400,1.56
c_324,m_2440,0,app_6010,started,400,400,1.56
c_325,m_961,0,app_7722,started,400,400,1.56
c_326,m_2758,0,app_5428,started,400,400,3.13
c_327,m_2995,0,app_2695,started,800,800,3.13
c_328,m_3212,0,app_5219,started,400,400,1.56
c_329,m_1808,593701,app_1676,started,400,400,1.56
c_330,m_3674,0,app_4075,started,800,800,3.13
c_331,m_442,0,app_1591,started,400,400,1.56
c_332,m_155,0,app_6118,started,400,480,1.56
c_333,m_164,0,app_3006,started,400,400,1.56
c_334,m_694,0,app_389,started,400,400,1.56
c_335,m_2650,0,app_442,started,800,800,3.13
c_336,m_3617,0,app_9344,started,400,480,1.56
c_337,m_2065,0,app_7562,started,400,400,1.56
c_338,m_2843,0,app_1526,started,400,400,1.95
c_339,m_1159,0,app_1600,started,400,400,1.56
c_340,m_2509,340106,app_5226,started,400,400,1.56
c_341,m_1078,0,app_8719,started,400,400,1.56
c_342,m_1102,0,app_6177,started,400,400,1.56
c_343,m_2976,0,app_1254,started,800,800,3.13
c_344,m_718,0,app_8388,started,400,400,1.56
c_345,m_3815,0,app_9059,started,400,400,1.95
c_346,m_3221,0,app_56,started,400,400,1.56
c_347,m_685,0,app_8058,started,400,400,1.56
c_348,m_1998,593658,app_1676,started,400,400,1.56
c_349,m_1093,0,app_4031,started,400,400,1.56
c_350,m_1775,0,app_166,stopped,400,400,1.56
c_351,m_1148,0,app_56,started,400,400,1.56
c_352,m_3727,0,app_141,started,800,800,3.13
c_353,m_524,0,app_5219,started,400,400,1.56
c_354,m_704,0,app_9541,started,800,800,3.13
c_355,m_3284,0,app_1278,started,800,800,3.13
c_356,m_1482,0,app_3665,started,400,400,1.56
c_357,m_2098,0,app_3208,started,800,800,3.13
c_358,m_143,0,app_8981,started,400,400,1.56
c_359,m_3266,0,app_56,started,400,400,1.56
c_360,m_1773,0,app_4648,started,400,400,1.56
c_361,m_1968,0,app_7734,started,400,400,1.56
c_362,m_3354,0,app_8205,started,400,400,1.56
c_364,m_3136,0,app_442,started,800,800,3.13
c_365,m_3528,0,app_5895,started,400,400,1.56
c_366,m_3297,0,app_442,started,800,800,3.13
c_367,m_1176,0,app_5696,started,2400,2400,9.38
c_368,m_333,76699,app_1274,started,400,400,1.56
c_369,m_2552,0,app_3988,started,400,400,1.56
c_370,m_2956,0,app_2830,started,400,400,1.56
c_371,m_3565,0,app_3299,started,800,800,3.13
c_372,m_2488,0,app_1323,started,400,400,1.56
c_373,m_1502,0,app_1014,started,400,400,1.56
c_374,m_404,0,app_9575,started,400,400,1.56
c_375,m_3834,0,app_656,started,400,400,1.56
c_376,m_3811,0,app_1123,started,400,480,1.56
c_377,m_2867,0,app_5031,started,400,400,1.56
c_378,m_3779,0,app_2899,started,400,400,1.56
c_379,m_3494,0,app_5415,started,400,400,1.56
c_380,m_3870,0,app_1980,started,400,400,1.56
c_381,m_88,0,app_66,started,400,400,1.56
c_382,m_1290,0,app_5555,started,400,400,1.56
c_383,m_1519,0,app_1347,started,800,800,3.13
c_384,m_2066,0,app_2724,started,400,400,1.56
c_385,m_2767,0,app_1178,started,400,400,1.56
c_387,m_841,0,app_5183,started,400,400,1.56
c_388,m_1038,0,app_1596,started,400,400,1.56
c_389,m_656,0,app_9555,started,400,400,1.56
c_390,m_1139,0,app_4091,started,400,400,1.56
c_392,m_3309,0,app_2446,started,400,400,1.56
c_394,m_972,0,app_8129,started,400,400,1.56
c_395,m_2797,76699,app_1274,started,400,400,1.56
c_396,m_3378,0,app_7037,started,400,400,1.56
c_397,m_1281,0,app_1596,started,400,480,1.56
c_398,m_3741,593705,app_1676,started,400,400,1.56
c_399,m_1333,0,app_9553,started,400,400,1.56
c_400,m_2907,0,app_582,started,400,400,1.56
c_401,m_3728,0,app_1490,started,400,480,1.56
c_404,m_2109,0,app_4265,started,400,400,1.56
c_406,m_3498,0,app_3514,started,400,400,1.56
c_407,m_3340,0,app_5159,started,400,400,1.56
c_408,m_988,0,app_5805,started,800,800,6.25
c_409,m_754,0,app_3943,started,400,400,1.56
c_410,m_150,0,app_5113,started,400,400,1.56
c_411,m_558,0,app_7707,started,400,480,1.56
c_412,m_3665,0,app_1469,started,400,480,1.56
c_414,m_3334,0,app_1928,started,400,400,1.56
c_415,m_3947,0,app_4365,started,400,480,1.56
c_416,m_2453,0,app_4176,started,800,800,3.13
c_417,m_342,580453,app_3665,started,400,400,1.56
c_418,m_2811,0,app_568,started,400,400,1.56
c_419,m_733,0,app_6524,started,400,480,1.56
c_420,m_2479,0,app_5866,started,400,400,1.56
c_421,m_2716,0,app_4736,started,400,400,1.56
c_422,m_163,0,app_114,started,400,400,1.56
c_423,m_613,0,app_4340,started,400,400,1.56
c_424,m_2019,0,app_8047,started,400,400,1.56
c_425,m_3941,0,app_1254,started,800,800,3.13
c_426,m_1910,0,app_2264,started,400,400,1.56
c_428,m_38,0,app_4305,started,400,480,1.56
c_429,m_750,0,app_2695,started,800,800,3.13
c_430,m_2413,0,app_6984,started,400,400,1.56
c_431,m_878,0,app_3715,started,400,400,1.56
c_432,m_1788,0,app_6219,started,400,480,1.56
c_433,m_2776,0,app_7419,started,400,400,1.56
c_434,m_403,0,app_6762,started,800,800,3.13
c_435,m_2740,0,app_8323,started,400,480,1.56
c_436,m_145,0,app_3971,started,800,800,3.13
c_437,m_1661,0,app_328,started,400,400,1.56
c_438,m_327,0,app_1373,started,400,400,1.56
c_439,m_1337,0,app_3386,started,400,480,1.56
c_440,m_537,0,app_887,started,400,400,1.56
c_441,m_1764,0,app_2362,started,800,800,6.25
c_442,m_1114,0,app_622,started,400,400,1.56
c_444,m_1972,0,app_7349,started,400,400,1.56
c_445,m_489,0,app_5428,started,400,400,3.13
